date,average_sentiment
2020-11-15,0.1028300295184881
2020-11-16,0.10772266889618645
2020-11-17,-0.2155961797611235
2020-11-18,0.4217843850978234
2020-11-19,0.5554373950985474
2020-11-20,0.6320957390755939
2020-11-21,0.5030681220181038
2020-11-22,0.37554519136220055
2020-11-23,0.41221128656288786
2020-11-24,0.7499499109065954
2020-11-25,0.4592232805644856
2020-11-26,0.4294651883408005
2020-11-27,0.15148672309827815
2020-11-28,0.2496278869630066
2020-11-29,0.5263251861647783
2020-11-30,0.5681397714498962
2020-12-01,0.4600070168092635
2020-12-02,0.22491155737963708
2020-12-03,0.482830999952057
2020-12-04,0.5496619572742202
2020-12-05,0.31299431508611464
2020-12-06,0.40389756348568295
2020-12-07,0.28656952396500857
2020-12-08,0.45334506178848216
2020-12-09,0.35632206110515163
2020-12-10,0.4070249675674094
2020-12-11,0.3836257430079939
2020-12-12,0.41747340405287975
2020-12-13,0.49785846894661906
2020-12-14,0.4337427101645084
2020-12-15,0.4903834879155693
2020-12-16,0.4773876991666111
2020-12-17,0.11786116857844793
2020-12-18,0.4438396473069386
2020-12-19,0.5607091527464217
2020-12-20,0.4946817879709518
2020-12-21,0.6199603818668402
2020-12-22,0.5031733032341138
2020-12-23,0.3300868541120508
2020-12-24,0.4325339600016014
2020-12-25,0.36334442181586857
2020-12-26,0.39599621456672257
2020-12-27,0.3455565877175104
2020-12-28,0.2757467522679733
2020-12-29,0.3604986433135931
2020-12-30,0.34062670289731994
2020-12-31,0.49169033676269464
2021-01-01,0.5384113245415992
2021-01-02,0.45749488058041604
2021-01-03,0.4364123088424094
2021-01-04,0.2887916581839454
2021-01-05,0.44263973761189845
2021-01-06,0.390371532755258
2021-01-07,0.36236089023846574
2021-01-08,0.316242057548443
2021-01-09,0.22190934290301811
2021-01-10,0.19124172785754187
2021-01-11,0.31606722961695893
2021-01-12,0.37422108668433796
2021-01-13,0.46115549472825756
2021-01-14,0.40495510357668535
2021-01-15,0.44488785877476994
2021-01-16,0.4031717093594125
2021-01-17,0.21612391479189683
2021-01-18,0.5962329904786836
2021-01-19,0.41725535490860644
2021-01-20,0.4791554375648029
2021-01-21,0.4339277259301525
2021-01-22,0.2885740954790862
2021-01-23,0.5218778763864028
2021-01-24,0.476234271525027
2021-01-25,0.4730785467876278
2021-01-26,0.24579845524136337
2021-01-27,0.43483790325491334
2021-01-28,0.6638991993378295
2021-01-29,0.28600019353521927
2021-01-30,0.4469254260994785
2021-01-31,0.49728586956876825
2021-02-01,0.48607836022776607
2021-02-02,0.5382340693748701
2021-02-03,0.4209698343168283
2021-02-04,0.42197777233086525
2021-02-05,0.28294088724935135
2021-02-06,0.6019479034159567
2021-02-07,0.4949869819921774
2021-02-08,0.3805849867666393
2021-02-09,0.3293111143117294
2021-02-10,0.2529064022482496
2021-02-11,0.4353461477029511
2021-02-12,0.3416011828196467
2021-02-13,0.4052747139023352
2021-02-14,0.5040775206329982
2021-02-15,0.4611444245749695
2021-02-16,0.38842261210067913
